entry_id,owner_id,label,paid,status,buyback_used
e1,o1,bb,FALSE,alive,FALSE
e2,o2,Tay,FALSE,alive,FALSE
e3,o3,Eddie,FALSE,alive,FALSE
e4,o4,Brendan,FALSE,alive,FALSE
e5,o5,Johnny,FALSE,alive,FALSE
e6,o6,Jack,FALSE,alive,FALSE
e7,o7,Timmy,FALSE,alive,FALSE
e8,o8,Theresa,FALSE,alive,FALSE
e9,o9,Ash,FALSE,alive,FALSE
e10,o10,Rick,FALSE,alive,FALSE
e11,o11,Drew,FALSE,alive,FALSE
e12,o12,Byrne,FALSE,alive,FALSE
e13,o13,Mac,FALSE,alive,FALSE
e14,o14,Ed,FALSE,alive,FALSE
e15,o15,Vincie,FALSE,alive,FALSE
e16,o16,Big Vince,FALSE,alive,FALSE
e17,o17,Dane,FALSE,alive,FALSE
e18,o18,Gilchrist,FALSE,alive,FALSE
e19,o19,Joe,FALSE,alive,FALSE
e20,o20,Logan,FALSE,alive,FALSE
e21,o21,Gabe,FALSE,alive,FALSE
e22,o22,Vinny,FALSE,alive,FALSE
